,class,kindom,phylum,class,order,family,genus,species
k_Bacteria|p_Deferribacteres|c_Deferribacteres,class,k_Bacteria,p_Deferribacteres,c_Deferribacteres,,,,
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales,order,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,,,
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae,family,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,,
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Calditerrivibrio,genus,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Calditerrivibrio,
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Calditerrivibrio|s_Calditerrivibrio_nitroreducens,species,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Calditerrivibrio,s_Calditerrivibrio_nitroreducens
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Deferribacter,genus,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Deferribacter,
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Deferribacter|s_Deferribacter_desulfuricans,species,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Deferribacter,s_Deferribacter_desulfuricans
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Flexistipes,genus,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Flexistipes,
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Flexistipes|s_Flexistipes_sinusarabici,species,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Flexistipes,s_Flexistipes_sinusarabici
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Denitrovibrio,genus,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Denitrovibrio,
