group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
g_Delftia	6.00E-04	3.00E-04	1.00E-04	3.00E-04	4.00E-04	1.00E-03	2.00E-04	0.00E+00	0.00E+00	0.00E+00	3.00E-04	1.00E-04	2.00E-04	0.00E+00	0.00E+00	4.00E-04	3.00E-04	6.00E-04	2.00E-04	2.00E-04	1.00E-04	1.00E-04	0.00E+00	7.00E-04	5.00E-04	4.00E-04
g_Desulfovibrio	0.0002	0.0009	0.0004	0	0.0001	0.0001	0.0001	0.0007	0	0.0001	0.0012	0.0012	0.0001	0	0.0022	0.0015	0.0007	0.0024	0	0.0064	0	0	0.0055	0.0004	0.0007	0.0078
g_Dialister	0.0812	0.0116	0.0031	0.002	0.023	0.0029	0.0019	0.0008	0.0868	0.0949	0.0013	0.0199	0.0013	0.0016	0.0493	0.0253	0.0009	0.0019	0.0008	0.003	0.0294	0.0019	0.0038	0.0267	0.0033	0.0377
g_Dielma	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Dolosigranulum	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Dorea	0.0017	0.0009	0.0024	0.0073	0.0071	0.011	0.0023	0.002	0.0198	0.0039	0.0059	0.0048	0.0022	0.0047	0.004	0.0026	0.0043	0.0102	0.0059	0.0081	0.0202	0.0059	0.007	0.0031	0.0039	0.0043
g_DTU089	2.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Eikenella	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Eisenbergiella	0.0007	0.0016	0.0003	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Ellin6067	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Elusimicrobium	0	0	0.0001	0.0002	0.0003	0.0001	0	0	0.0002	0.017	0	0.0002	0	0	0.0002	0	0.0002	0.0001	0	0.0002	0	0.0001	0.0001	0.0005	0	0.0002
g_Enhydrobacter	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00
g_Enterococcus	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.00E-04	2.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Enterorhabdus	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Erysipelatoclostridium	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Erysipelotrichaceae	0.0015	0.0005	0.001	0.001	0.0035	0.0306	0.0004	0.0005	0.0007	0.0003	0.0009	0.001	0	0.0001	0.001	0.0011	0.0009	0.0011	0.0033	0.006	0.0014	0.0025	0.0007	0.0007	0.0023	0.0113
g_Escherichia-Shigella	0.407	0.0384	0.0043	0.0028	0.0028	0.0442	0.0029	0.0019	0.0008	0.0017	0.001	0.0077	0.001	0.0284	0.0116	0.006	0.0144	0.0221	0.0024	0.0016	0.0008	0.0009	0.0021	0.0041	0.0022	0.0026
g_Eubacterium	0.0321	0.0184	0.0397	0.0727	0.0511	0.0541	0.038	0.0361	0.0322	0.1204	0.03	0.0398	0.0217	0.0739	0.0829	0.0584	0.0159	0.0486	0.0414	0.0874	0.0711	0.0443	0.0686	0.0164	0.0291	0.0411
g_Ezakiella	0.0006	0.0004	0.0011	0.0006	0.0002	0.0009	0.0008	0.0003	0.0006	0.0007	0.0003	0.0007	0.0004	0.0002	0.0007	0.0007	0.0003	0.0008	0.0003	0.0008	0.001	0.001	0	0	0	0.0003
